Year,Player,GP,PPG,PTS,FGA,FG%,rFG%
2022,Domantas Sabonis,62,12.5,778,587,66.3,9.6
2014,DeMarcus Cousins,71,12.5,890,826,53.9,-0.2
2006,Dwyane Wade,75,12.5,940,774,60.7,6.9
1997,Vin Baker,78,12.5,972,866,56.1,4.1
2008,Carlos Boozer,81,12.5,1014,838,60.5,6
1997,Karl Malone,82,12.5,1024,789,64.9,12.9
2004,Amar'e Stoudemire,55,12.4,684,649,52.7,0.7
2021,De'Aaron Fox,58,12.4,718,618,58.1,2
2021,Collin Sexton,60,12.4,742,686,54.1,-2
2004,Tim Duncan,69,12.4,854,756,56.5,4.5
2007,Dwight Howard,82,12.4,1016,811,62.6,7.9
2021,Andre Drummond,46,12.3,564,552,51.1,-5
1999,Tim Duncan,50,12.3,614,547,56.1,4.3
2007,Zach Randolph,68,12.3,834,828,50.4,-4.4
2010,Andrew Bogut,69,12.3,852,799,53.3,-2.1
2007,Tim Duncan,80,12.3,980,827,59.3,4.5
2019,Nikola Vucevic,80,12.3,982,834,58.9,3.3
2000,Elton Brand,81,12.3,1000,953,52.5,-0.5
2012,LeBron James,62,12.2,758,576,65.8,12.4
2020,Domantas Sabonis,62,12.2,758,642,59,3.4
2016,Brook Lopez,73,12.2,890,804,55.3,1.4
1997,Hakeem Olajuwon,78,12.2,950,844,56.3,4.3
1997,Gary Payton,82,12.2,1002,877,57.1,5.1
2015,Dwight Howard,41,12.1,496,413,60,6.5
2012,David Lee,57,12.1,688,639,53.8,0.4
2006,Allen Iverson,72,12.1,870,846,51.4,-2.4
2022,Karl-Anthony Towns,74,12.1,898,728,61.7,5
2013,Brook Lopez,74,12.1,892,774,57.6,3.9
2013,Dwight Howard,76,12.1,922,769,59.9,6.2
2019,Karl-Anthony Towns,77,12.1,930,772,60.2,4.7
2007,LeBron James,78,12.1,940,731,64.3,9.5
2010,Carlos Boozer,78,12.1,942,768,61.3,5.9
2010,Zach Randolph,81,12.1,978,917,53.3,-2.1
1998,Shareef Abdur-Rahim,82,12.1,994,913,54.4,1.1
2012,Brook Lopez,5,12.0,60,55,54.5,1.1
2022,Shai Gilgeous-Alexander,56,12.0,672,636,52.8,-3.8
2015,Anthony Davis,68,12.0,818,653,62.6,9.1
2022,Joel Embiid,68,12.0,816,692,59,2.3
2006,Elton Brand,79,12.0,948,820,57.8,3.9
2007,Amar'e Stoudemire,82,12.0,986,794,62.1,7.3
2003,Elton Brand,62,11.9,740,665,55.6,3.1
2013,Nikola Pekovic,62,11.9,738,687,53.7,0
2021,Bam Adebayo,64,11.9,764,622,61.4,5.3
2020,Hassan Whiteside,67,11.9,794,612,64.9,9.2
2010,LeBron James,76,11.9,902,657,68.6,13.2
2009,Dwyane Wade,79,11.9,942,750,62.8,8.4
2006,Pau Gasol,80,11.9,948,869,54.5,0.7
2010,Dwight Howard,82,11.9,978,769,63.6,8.2
2015,Andre Drummond,82,11.9,974,918,53.1,-0.5
2018,T.J. Warren,65,11.8,770,669,57.5,2.2
2022,Jakob Poeltl,68,11.8,802,634,63.2,6.6
