Year,Player,GP,PPG,PTS,FGA,FG%,rFG%
2000,Monty Williams,75,4.9,366,332,55.1,2.2
2016,Kent Bazemore,75,4.9,368,345,53.3,-0.7
2019,Delon Wright,75,4.9,370,361,51.2,-4.3
2015,Kevin Love,75,4.9,370,368,50.3,-3.2
2005,Joel Przybilla,76,4.9,376,291,64.6,11.5
2000,Kendall Gill,76,4.9,376,357,52.7,-0.3
2016,Zaza Pachulia,76,4.9,376,358,52.5,-1.5
2002,Othella Harrington,77,4.9,376,324,58,5.4
2022,Tyrese Haliburton,77,4.9,378,353,53.5,-3.1
2004,Stromile Swift,77,4.9,378,380,49.7,-2.3
2016,Serge Ibaka,78,4.9,380,320,59.4,5.4
2003,Dale Davis,78,4.9,382,321,59.5,7
2007,Chuck Hayes,78,4.9,384,331,58,3.3
2014,Stephen Curry,78,4.9,384,359,53.5,-0.6
2004,Greg Ostertag,78,4.9,386,368,52.4,0.4
2013,Derrick Williams,78,4.9,386,369,52.3,-1.4
2002,Bob Sura,78,4.9,382,375,50.9,-1.7
2006,Brad Miller,79,4.9,386,329,58.7,4.8
2005,Mike Dunleavy,79,4.9,386,332,58.1,5
1997,Tony Massenburg,79,4.9,386,377,51.2,-0.8
2009,Tyrus Thomas,79,4.9,388,383,50.7,-3.8
2014,Samuel Dalembert,80,4.9,390,333,58.6,4.5
2018,Bojan Bogdanovic,80,4.9,388,350,55.4,0.1
2018,Jeremy Lamb,80,4.9,392,355,55.2,-0.1
2001,Ben Wallace,80,4.9,394,372,53,0.9
1997,Michael Smith,81,4.9,398,346,57.5,5.5
2015,Boris Diaw,81,4.9,394,358,55,1.5
2016,Monta Ellis,81,4.9,394,360,54.7,0.7
2008,Rashard Lewis,81,4.9,398,360,55.3,0.8
2013,Darren Collison,81,4.9,394,369,53.4,-0.3
1997,Doug Christie,81,4.9,400,399,50.1,-1.9
2004,Kerry Kittles,82,4.9,400,337,59.3,7.3
2003,Brian Grant,82,4.9,398,345,57.7,5.2
2014,Jason Thompson,82,4.9,400,355,56.3,2.3
2000,Bryon Russell,82,4.9,398,358,55.6,2.6
2018,Taurean Prince,82,4.9,404,395,51.1,-4.2
2003,Eric Snow,82,4.9,404,405,49.9,-2.6
2004,Theo Ratliff,85,4.9,414,363,57,5
2011,Yao Ming,5,4.8,24,25,48,-6.5
2012,Wilson Chandler,8,4.8,38,35,54.3,0.9
2021,Gabriel Deck,10,4.8,48,41,58.5,2.4
2000,Bobby Phills,28,4.8,134,116,57.8,4.8
2020,Chandler Hutchison,28,4.8,134,130,51.5,-4.1
1999,Sherman Douglas,30,4.8,144,127,56.7,4.8
2016,Alec Burks,31,4.8,148,159,46.5,-7.4
2010,Darko Milicic,32,4.8,152,147,51.7,-3.7
2010,Andris Biedrins,33,4.8,160,135,59.3,3.9
1999,Latrell Sprewell,37,4.8,178,175,50.9,-1
1999,Kerry Kittles,46,4.8,222,231,48.1,-3.8
2012,Kosta Koufos,48,4.8,228,185,61.6,8.2
1999,Antonio Davis,49,4.8,236,225,52.4,0.6
1999,Bryon Russell,50,4.8,240,202,59.4,7.5
1999,Shandon Anderson,50,4.8,240,213,56.3,4.5
2021,Goran Dragic,50,4.8,240,235,51.1,-5
2021,Luguentz Dort,52,4.8,252,288,43.8,-12.4
2018,Tristan Thompson,53,4.8,254,218,58.3,2.9
2001,Bob Sura,53,4.8,256,262,48.9,-3.2
2016,Danilo Gallinari,53,4.8,252,264,47.7,-6.3
2017,Timofey Mozgov,54,4.8,258,232,55.6,0.4
2002,Metta World Peace,55,4.8,264,264,50,-2.6
2017,Michael Beasley,56,4.8,268,221,60.6,5.5
2019,Tony Parker,56,4.8,268,252,53.2,-2.4
2006,Devin Harris,56,4.8,270,261,51.7,-2.1
2005,Jerry Stackhouse,56,4.8,268,267,50.2,-2.9
2012,Drew Gooden,56,4.8,268,283,47.3,-6.1
2022,Tristan Thompson,57,4.8,276,260,53.1,-3.5
2016,Archie Goodwin,57,4.8,272,277,49.1,-4.9
2013,Kawhi Leonard,58,4.8,278,236,58.9,5.2
2012,Nicolas Batum,59,4.8,284,238,59.7,6.2
2016,Myles Turner,60,4.8,286,228,62.7,8.7
2020,Rondae Hollis-Jefferson,60,4.8,286,282,50.7,-4.9
2012,Ryan Anderson,61,4.8,292,272,53.7,0.2
2020,Glenn Robinson III,62,4.8,296,258,57.4,1.7
2015,Bradley Beal,63,4.8,300,276,54.3,0.8
2009,Anthony Randolph,63,4.8,300,278,54,-0.5
2017,Tony Parker,63,4.8,302,307,49.2,-6
2016,Markieff Morris,64,4.8,304,298,51,-3
2012,Samuel Dalembert,65,4.8,314,275,57.1,3.7
2009,Zydrunas Ilgauskas,65,4.8,314,298,52.7,-1.7
2000,Matt Geiger,65,4.8,314,309,50.8,-2.1
2005,Peja Stojakovic,66,4.8,314,254,61.8,8.7
2006,Nick Collison,66,4.8,320,270,59.3,5.4
2019,Derrick White,67,4.8,320,292,54.8,-0.8
2000,Jason Kidd,67,4.8,320,306,52.3,-0.7
2015,Joakim Noah,67,4.8,320,338,47.3,-6.2
2002,Jerome Williams,68,4.8,326,311,52.4,-0.2
2021,Dwight Howard,69,4.8,332,269,61.7,5.6
2003,Raef LaFrentz,69,4.8,332,273,60.8,8.3
2005,Bonzi Wells,69,4.8,332,304,54.6,1.5
2002,Ray Allen,69,4.8,330,315,52.4,-0.3
2003,Glenn Robinson,69,4.8,328,363,45.2,-7.3
2013,Greg Smith,70,4.8,336,266,63.2,9.5
2007,Mike Miller,70,4.8,336,275,61.1,6.3
2013,Enes Freedom,70,4.8,338,286,59.1,5.4
2019,Bogdan Bogdanovic,70,4.8,334,345,48.4,-7.2
2022,Mo Bamba,71,4.8,340,272,62.5,5.9
2014,Jeremy Lin,71,4.8,342,327,52.3,-1.7
2014,Trevor Booker,72,4.8,344,281,61.2,7.2
2002,Joe Smith,72,4.8,348,304,57.2,4.6
2001,Marcus Fizer,72,4.8,342,335,51,-1
2014,DeMarre Carroll,73,4.8,350,301,58.1,4.1
2018,Kyle Anderson,74,4.8,354,302,58.6,3.3
1998,P.J. Brown,74,4.8,352,324,54.3,1
1998,Stanley Roberts,74,4.8,358,336,53.3,-0.1
2007,Eduardo Najera,75,4.8,358,270,66.3,11.5
2017,Jon Leuer,75,4.8,358,272,65.8,10.6
2011,Steve Nash,75,4.8,360,306,58.8,4.4
2022,Trey Lyles,75,4.8,360,307,58.6,2
2013,Brandon Knight,75,4.8,360,385,46.8,-7
2000,Adonal Foyle,76,4.8,368,347,53,0.1
2017,Draymond Green,76,4.8,368,353,52.1,-3
2004,Brendan Haywood,77,4.8,368,333,55.3,3.2
2018,Pau Gasol,77,4.8,366,347,52.7,-2.6
2010,George Hill,78,4.8,372,322,57.8,2.4
2011,CJ Miles,78,4.8,372,355,52.4,-2.1
1998,Reggie Slater,78,4.8,372,390,47.7,-5.6
2011,Beno Udrih,79,4.8,376,300,62.7,8.2
2008,Linas Kleiza,79,4.8,376,300,62.7,8.2
2000,Vitaly Potapenko,79,4.8,378,377,50.1,-2.8
2019,Kevon Looney,80,4.8,386,293,65.9,10.3
2014,Mike Scott,80,4.8,382,308,62,8
2022,Chris Boucher,80,4.8,386,317,60.9,4.3
1998,Adam Keefe,80,4.8,380,322,59,5.7
2003,Tim Thomas,80,4.8,386,357,54.1,1.6
2006,Josh Smith,80,4.8,382,369,51.8,-2.1
2007,Drew Gooden,80,4.8,382,378,50.5,-4.2
1997,Gerald Wilkins,80,4.8,382,382,50,-2
2015,Luis Scola,81,4.8,390,365,53.4,-0.1
2000,Sam Cassell,81,4.8,388,366,53,0
2022,Kevon Looney,82,4.8,392,312,62.8,6.2
2006,Smush Parker,82,4.8,390,323,60.4,6.5
2002,Ricky Davis,82,4.8,394,329,59.9,7.2
2002,Aaron Williams,82,4.8,394,351,56.1,3.5
2017,Gorgui Dieng,82,4.8,394,355,55.5,0.3
2018,Dillon Brooks,82,4.8,394,356,55.3,0
2008,Andray Blatche,82,4.8,390,361,54,-0.4
2004,Flip Murray,82,4.8,390,364,53.6,1.6
1998,Antonio Davis,82,4.8,394,377,52.3,-1.1
2011,D.J. Augustin,82,4.8,390,412,47.3,-7.1
2020,Jeremy Pargo,3,4.7,14,12,58.3,2.7
2006,Amar'e Stoudemire,3,4.7,14,18,38.9,-15
2012,Kwame Brown,9,4.7,42,39,53.8,0.4
2012,Corey Maggette,32,4.7,150,149,50.3,-3.1
2017,Skal Labissiere,33,4.7,156,141,55.3,0.2
2012,Manu Ginobili,34,4.7,160,115,69.6,16.1
1999,Ron Harper,35,4.7,166,191,43.5,-8.4
2022,Bismack Biyombo,36,4.7,168,139,60.4,3.8
1999,Steven Smith,36,4.7,170,185,45.9,-5.9
2017,Tyreke Evans,40,4.7,188,205,45.9,-9.3
2011,Tyrus Thomas,41,4.7,194,181,53.6,-0.9
2012,Danilo Gallinari,43,4.7,204,195,52.3,-1.1
2020,Harry Giles III,46,4.7,216,185,58.4,2.7
2019,Rajon Rondo,46,4.7,216,243,44.4,-11.1
2022,Daniel Theis,47,4.7,220,161,68.3,11.7
2008,Udonis Haslem,49,4.7,230,225,51.1,-3.4
2022,Jalen Smith,51,4.7,242,193,62.7,6.1
2020,Kris Dunn,51,4.7,240,212,56.6,1
2009,Drew Gooden,51,4.7,240,225,53.3,-1.1
1998,Lawrence Funderburke,52,4.7,246,211,58.3,5
2021,Fred VanVleet,52,4.7,246,284,43.3,-12.8
2008,Mike Conley,53,4.7,248,255,48.6,-5.8
2010,Erick Dampier,55,4.7,258,204,63.2,7.8
2021,Paul Millsap,56,4.7,262,224,58.5,2.4
2021,Will Barton,56,4.7,264,280,47.1,-9
2001,Adonal Foyle,58,4.7,274,328,41.8,-10.2
2021,Xavier Tillman Sr.,59,4.7,276,216,63.9,7.8
2006,Jameer Nelson,62,4.7,292,260,56.2,2.3
2005,Keith Van Horn,62,4.7,292,275,53.1,0
2007,Kenny Thomas,62,4.7,290,289,50.2,-4.6
2012,Taj Gibson,63,4.7,294,264,55.7,2.2
2012,Tayshaun Prince,63,4.7,294,297,49.5,-3.9
2017,Pau Gasol,64,4.7,302,288,52.4,-2.7
2012,Derrick Brown,65,4.7,308,252,61.1,7.7
2007,Etan Thomas,65,4.7,304,264,57.6,2.8
2022,D'Angelo Russell,65,4.7,308,286,53.8,-2.8
2001,Larry Johnson,65,4.7,308,288,53.5,1.5
2014,Anderson Varejao,65,4.7,304,293,51.9,-2.2
2006,Samuel Dalembert,66,4.7,310,281,55.2,1.3
2008,Mo Williams,66,4.7,310,307,50.5,-4
2021,Khem Birch,67,4.7,316,286,55.2,-0.9
2015,Isaiah Thomas,67,4.7,318,318,50,-3.5
2019,Eric Gordon,68,4.7,320,318,50.3,-5.2
2001,Corey Maggette,69,4.7,322,275,58.5,6.5
2018,Bam Adebayo,69,4.7,326,300,54.3,-1
2020,Troy Brown Jr.,69,4.7,326,310,52.6,-3.1
2007,Steven Hunter,70,4.7,332,274,60.6,5.8
2020,Chris Paul,70,4.7,332,292,56.8,1.2
2022,Gary Payton II,71,4.7,336,222,75.7,19
2008,Andrei Kirilenko,72,4.7,336,267,62.9,8.5
2016,Kristaps Porzingis,72,4.7,340,365,46.6,-7.4
2007,Jamaal Tinsley,72,4.7,336,387,43.4,-11.3
2000,Wally Szczerbiak,73,4.7,344,271,63.5,10.5
2016,Jae Crowder,73,4.7,340,287,59.2,5.2
2000,Tyrone Nesby,73,4.7,344,338,50.9,-2.1
1997,Walt Williams,73,4.7,340,340,50,-2
2011,Marcus Thornton,73,4.7,346,346,50,-4.5
2003,Othella Harrington,74,4.7,350,307,57,4.5
2008,Marquis Daniels,74,4.7,346,320,54.1,-0.4
2002,Kelvin Cato,75,4.7,352,285,61.8,9.1
2010,JR Smith,75,4.7,354,312,56.7,1.3
2011,Trevor Ariza,75,4.7,356,346,51.4,-3
2017,Malcolm Brogdon,75,4.7,354,352,50.3,-4.9
2017,Frank Kaminsky,75,4.7,352,361,48.8,-6.4
1997,Carl Herrera,75,4.7,350,397,44.1,-7.9
2016,Avery Bradley,76,4.7,354,269,65.8,11.8
2018,Kelly Olynyk,76,4.7,360,271,66.4,11.1
2011,Brandon Bass,76,4.7,358,301,59.5,5
2010,Hakim Warrick,76,4.7,358,315,56.8,1.4
2010,Dahntay Jones,76,4.7,354,317,55.8,0.4
1998,LaPhonso Ellis,76,4.7,356,320,55.6,2.3
2019,Joe Harris,76,4.7,354,331,53.5,-2.1
2013,Eric Bledsoe,76,4.7,358,344,52,-1.7
2014,Shaun Livingston,76,4.7,360,346,52,-2
1998,Tim Thomas,77,4.7,364,330,55.2,1.8
2014,Gordon Hayward,77,4.7,360,373,48.3,-5.8
2003,P.J. Brown,78,4.7,366,334,54.8,2.3
2007,Rudy Gay,78,4.7,364,365,49.9,-4.9
2017,Rondae Hollis-Jefferson,78,4.7,368,369,49.9,-5.3
2005,Melvin Ely,79,4.7,374,393,47.6,-5.5
2000,Nick Van Exel,79,4.7,374,404,46.3,-6.7
2002,Scot Pollard,80,4.7,372,325,57.2,4.6
2011,Chris Paul,80,4.7,378,370,51.1,-3.4
2015,Dion Waiters,80,4.7,372,404,46,-7.5
2010,Steve Nash,81,4.7,382,312,61.2,5.8
2017,Bojan Bogdanovic,81,4.7,384,343,56,0.8
2010,John Salmons,81,4.7,382,353,54.1,-1.3
2002,Jeff McInnis,81,4.7,378,405,46.7,-6
1997,Todd Day,81,4.7,382,486,39.3,-12.7
2010,Amir Johnson,82,4.7,382,289,66.1,10.7
2000,Bo Outlaw,82,4.7,388,299,64.9,11.9
2007,Danny Granger,82,4.7,382,306,62.4,7.7
2005,Andre Iguodala,82,4.7,382,307,62.2,9.1
2001,Wally Szczerbiak,82,4.7,384,325,59.1,7.1
2007,Mark Blount,82,4.7,388,329,59,4.2
2000,Scottie Pippen,82,4.7,382,332,57.5,4.6
2008,Nazr Mohammed,82,4.7,388,337,57.6,3.1
2019,Monte Morris,82,4.7,382,339,56.3,0.8
2000,Steven Smith,82,4.7,388,348,55.7,2.8
2002,Malik Rose,82,4.7,388,356,54.5,1.8
2006,Andres Nocioni,82,4.7,382,359,53.2,-0.7
2004,Mike Bibby,82,4.7,384,361,53.2,1.2
2003,Morris Peterson,82,4.7,386,370,52.2,-0.3
2009,Jarrett Jack,82,4.7,386,375,51.5,-3
1998,Allan Houston,82,4.7,388,388,50,-3.3
1997,Mark Jackson,82,4.7,382,397,48.1,-3.9
2019,Reggie Jackson,82,4.7,388,407,47.7,-7.9
2003,Al Harrington,82,4.7,384,408,47.1,-5.4
2000,Kenny Anderson,82,4.7,388,422,46,-7
2019,Devin Robinson,7,4.6,32,23,69.6,14
2009,DJ White,7,4.6,32,27,59.3,4.8
2010,Earl Barron,7,4.6,32,32,50,-5.4
2022,Greg Monroe,14,4.6,64,55,58.2,1.6
2019,Christian Wood,21,4.6,96,82,58.5,3
2000,Robert Pack,29,4.6,132,135,48.9,-4.1
2006,Corey Maggette,32,4.6,148,133,55.6,1.8
2017,Jeremy Lin,36,4.6,166,165,50.3,-4.9
2020,Frank Kaminsky,39,4.6,180,162,55.6,-0.1
2004,Nick Van Exel,39,4.6,180,192,46.9,-5.1
2021,Eric Paschall,40,4.6,184,167,55.1,-1
1997,George Lynch,41,4.6,188,157,59.9,7.9
2012,J.J. Barea,41,4.6,190,212,44.8,-8.6
2022,Rui Hachimura,42,4.6,192,155,61.9,5.3
2021,Evan Fournier,42,4.6,194,181,53.6,-2.5
2019,Will Barton,43,4.6,196,210,46.7,-8.9
2000,Michael Smith,46,4.6,212,182,58.2,5.3
2020,Hamidou Diallo,46,4.6,212,213,49.8,-5.9
2012,Michael Beasley,47,4.6,214,205,52.2,-1.2
2006,Robert Swift,47,4.6,216,207,52.2,-1.7
2020,Mike Conley,47,4.6,214,245,43.7,-12
2008,Anderson Varejao,48,4.6,222,218,50.9,-3.5
1999,Jerome Williams,50,4.6,228,214,53.3,1.4
2009,Kevin Martin,51,4.6,236,241,49,-5.5
2018,Nene,52,4.6,240,203,59.1,3.8
2022,Thaddeus Young,52,4.6,238,211,56.4,-0.2
2014,Jeff Adrien,53,4.6,244,219,55.7,1.7
2006,Joel Przybilla,56,4.6,260,222,58.6,4.7
2002,Clar. Weatherspoon,56,4.6,258,303,42.6,-10.1
2019,Willy Hernangomez,58,4.6,266,242,55,-0.6
2020,Carmelo Anthony,58,4.6,266,266,50,-5.6
2011,Andris Biedrins,59,4.6,274,255,53.7,-0.7
2012,Marreese Speights,60,4.6,276,301,45.8,-7.6
2005,Speedy Claxton,62,4.6,286,308,46.4,-6.7
2013,John Henson,63,4.6,292,263,55.5,1.8
2012,Alonzo Gee,63,4.6,290,311,46.6,-6.8
2012,Leandro Barbosa,64,4.6,294,271,54.2,0.8
2005,Chris Andersen,67,4.6,308,242,63.6,10.5
2003,Larry Hughes,67,4.6,310,298,52,-0.5
2018,Trevor Booker,68,4.6,314,280,56.1,0.7
2022,Kyle Anderson,69,4.6,318,315,50.5,-6.2
2001,Joe Smith,69,4.6,316,360,43.9,-8.1
2015,Aron Baynes,70,4.6,320,267,59.9,6.4
2017,Sean Kilpatrick,70,4.6,322,320,50.3,-4.8
2009,Roy Hibbert,70,4.6,322,334,48.2,-6.2
2006,Peja Stojakovic,71,4.6,326,271,60.1,6.3
2005,Tim Thomas,71,4.6,324,325,49.8,-3.3
2002,Lamond Murray,71,4.6,328,328,50,-2.6
2014,Chris Andersen,72,4.6,334,240,69.6,15.5
2020,Nemanja Bjelica,72,4.6,332,294,56.5,0.8
2002,Eddy Curry,72,4.6,330,309,53.4,0.7
2009,Jason Terry,74,4.6,342,301,56.8,2.4
2010,Marcus Camby,74,4.6,344,312,55.1,-0.3
2018,Wilson Chandler,74,4.6,344,317,54.3,-1.1
2008,Joakim Noah,74,4.6,344,330,52.1,-2.3
2011,Stephen Curry,74,4.6,338,332,50.9,-3.6
2013,J.J. Barea,74,4.6,344,353,48.7,-5
2010,Caron Butler,74,4.6,344,375,45.9,-9.5
2011,Kyle Lowry,75,4.6,342,307,55.7,1.2
2022,Davion Mitchell,75,4.6,346,329,52.6,-4
2019,Kevin Knox II,75,4.6,344,379,45.4,-10.2
2018,Serge Ibaka,76,4.6,346,287,60.3,5
2013,George Hill,76,4.6,346,295,58.6,4.9
2015,Marreese Speights,76,4.6,346,307,56.4,2.8
2001,Sam Cassell,76,4.6,352,330,53.3,1.3
2004,Joe Smith,76,4.6,348,357,48.7,-3.3
2001,Metta World Peace,76,4.6,352,363,48.5,-3.5
2018,Kyle O'Quinn,77,4.6,356,275,64.7,9.4
2019,Jakob Poeltl,77,4.6,358,279,64.2,8.6
2010,DeMar DeRozan,77,4.6,356,298,59.7,4.3
2022,Naz Reid,77,4.6,352,308,57.1,0.5
2002,Rodney Rogers,77,4.6,352,329,53.5,0.8
2007,Jameer Nelson,77,4.6,354,347,51,-3.7
2015,Dennis Schroder,77,4.6,356,362,49.2,-4.3
2001,Scot Pollard,77,4.6,358,363,49.3,-2.7
2013,Lance Stephenson,78,4.6,358,289,61.9,8.2
2010,Terrence Williams,78,4.6,360,352,51.1,-4.3
2002,Jason Terry,78,4.6,362,359,50.4,-2.2
2002,Shane Battier,78,4.6,356,360,49.4,-3.2
2010,Beno Udrih,79,4.6,366,284,64.4,9
2009,Marreese Speights,79,4.6,364,310,58.7,4.3
2006,Cuttino Mobley,79,4.6,360,355,50.7,-3.2
2017,Amir Johnson,80,4.6,364,291,62.5,7.4
2011,Nicolas Batum,80,4.6,366,291,62.9,8.4
2005,Tyson Chandler,80,4.6,364,346,52.6,-0.5
2015,Jarrett Jack,80,4.6,366,357,51.3,-2.2
2013,JR Smith,80,4.6,370,370,50,-3.7
2007,Mehmet Okur,80,4.6,368,380,48.4,-6.3
2005,Rafer Alston,80,4.6,368,388,47.4,-5.7
2019,Ed Davis,81,4.6,372,299,62.2,6.7
2004,Sam Cassell,81,4.6,370,320,57.8,5.8
2010,Marvin Williams,81,4.6,376,327,57.5,2.1
2001,Dale Davis,81,4.6,370,344,53.8,1.8
2013,Harrison Barnes,81,4.6,372,351,53,-0.7
2001,Olden Polynice,81,4.6,376,356,52.8,0.8
2007,Jamaal Magloire,81,4.6,374,359,52.1,-2.7
2017,Ish Smith,81,4.6,370,383,48.3,-6.9
2009,Linas Kleiza,82,4.6,378,310,61,6.5
2017,Marquese Chriss,82,4.6,378,336,56.3,1.1
2006,DeShawn Stevenson,82,4.6,376,368,51.1,-2.8
2013,Alonzo Gee,82,4.6,376,378,49.7,-4
2022,Saddiq Bey,82,4.6,376,392,48,-8.7
2001,Jason Terry,82,4.6,378,416,45.4,-6.6
2007,Amir Johnson,8,4.5,36,29,62.1,7.3
2016,Tony Wroten,8,4.5,36,45,40,-14
2021,Jaylen Hoard,19,4.5,86,76,56.6,0.5
2004,Jamal Mashburn,19,4.5,86,111,38.7,-13.3
2017,David Nwaba,20,4.5,90,72,62.5,7.3
2017,Georgios Papagiannis,22,4.5,100,83,60.2,5.1
2018,Shaquille Harrison,23,4.5,104,96,54.2,-1.2
2015,Alec Burks,27,4.5,122,146,41.8,-11.7
2020,Naz Reid,30,4.5,136,143,47.6,-8.1
2021,Larry Nance Jr.,35,4.5,156,133,58.6,2.5
1997,Don MacLean,37,4.5,166,162,51.2,-0.8
2019,J.J. Barea,38,4.5,170,183,46.4,-9.1
2021,Monte Morris,47,4.5,210,185,56.8,0.6
1999,Isaiah Rider,47,4.5,210,196,53.6,1.7
1999,Nick Anderson,47,4.5,212,229,46.3,-5.6
2003,Eduardo Najera,48,4.5,214,170,62.9,10.4
2022,DeMarcus Cousins,48,4.5,218,191,57.1,0.4
1999,John Wallace,48,4.5,214,226,47.3,-4.5
2020,Kevin Porter Jr.,50,4.5,224,191,58.6,3
1999,Larry Hughes,50,4.5,224,219,51.1,-0.7
1999,Cedric Henderson,50,4.5,226,220,51.4,-0.5
2012,Gustavo Ayon,54,4.5,244,206,59.2,5.8
2022,Eric Bledsoe,54,4.5,242,225,53.8,-2.8
2018,Nikola Mirotic,55,4.5,250,203,61.6,6.3
2000,Danny Fortson,55,4.5,248,227,54.6,1.7
2017,Emmanuel Mudiay,55,4.5,250,284,44,-11.1
2021,Josh Richardson,59,4.5,264,246,53.7,-2.5
2004,Speedy Claxton,60,4.5,272,285,47.7,-4.3
2015,Cole Aldrich,61,4.5,274,275,49.8,-3.7
2020,Myles Turner,62,4.5,280,231,60.6,5
2014,Michael Kidd-Gilchrist,62,4.5,282,256,55.1,1
2014,Wilson Chandler,62,4.5,278,257,54.1,0
1998,Bobby Phills,62,4.5,276,259,53.3,0
2003,Derrick Coleman,64,4.5,286,273,52.4,-0.1
2012,Jordan Crawford,64,4.5,290,293,49.5,-3.9
2022,Chris Paul,65,4.5,292,240,60.8,4.2
2016,Brandon Bass,66,4.5,298,242,61.6,7.6
2020,Dario Saric,66,4.5,296,252,58.7,3.1
2000,Bonzi Wells,66,4.5,298,265,56.2,3.3
2020,Bobby Portis,66,4.5,296,271,54.6,-1
2020,Al Horford,67,4.5,300,269,55.8,0.1
2020,Derrick White,68,4.5,304,272,55.9,0.2
2022,Al Horford,69,4.5,308,244,63.1,6.5
2021,Coby White,69,4.5,308,322,47.8,-8.3
2009,Metta World Peace,69,4.5,308,352,43.8,-10.7
2022,Jaden McDaniels,70,4.5,316,265,59.6,3
2009,Brad Miller,70,4.5,312,304,51.3,-3.1
2001,Michael Dickerson,70,4.5,314,338,46.4,-5.6
2020,T.J. McConnell,71,4.5,318,265,60,4.4
2013,Danilo Gallinari,71,4.5,316,323,48.9,-4.8
2011,Josh McRoberts,72,4.5,322,253,63.6,9.2
1998,Robert Horry,72,4.5,326,262,62.2,8.9
2008,Brad Miller,72,4.5,326,314,51.9,-2.6
2022,Mike Conley,72,4.5,322,336,47.9,-8.7
2013,Joe Johnson,72,4.5,326,341,47.8,-5.9
2020,Mikal Bridges,73,4.5,328,257,63.8,8.2
2018,Trey Lyles,73,4.5,328,279,58.8,3.5
2019,Jalen Brunson,73,4.5,330,290,56.9,1.3
2005,Kenny Thomas,73,4.5,328,315,52.1,-1
2018,DeMarre Carroll,73,4.5,326,330,49.4,-5.9
2003,Nick Van Exel,73,4.5,326,341,47.8,-4.7
2009,Steve Nash,74,4.5,330,287,57.5,3.1
2017,Kelly Olynyk,75,4.5,334,248,67.3,12.2
2009,Udonis Haslem,75,4.5,340,265,64.2,9.7
1997,Jason Caffey,75,4.5,338,295,57.3,5.3
2008,Rashad McCants,75,4.5,334,302,55.3,0.8
2009,JaVale McGee,75,4.5,340,328,51.8,-2.6
2016,Timofey Mozgov,76,4.5,342,278,61.5,7.5
2003,Gordan Giricek,76,4.5,340,292,58.2,5.7
2002,Rod Strickland,76,4.5,344,316,54.4,1.8
2018,Otto Porter Jr.,77,4.5,350,297,58.9,3.6
2019,Nemanja Bjelica,77,4.5,348,314,55.4,-0.1
2005,Jared Jeffries,77,4.5,344,328,52.4,-0.7
2016,Kevin Love,77,4.5,348,357,48.7,-5.2
2007,Ben Wallace,77,4.5,348,365,47.7,-7.1
2002,Danny Fortson,77,4.5,348,394,44.2,-8.5
2003,Sam Cassell,78,4.5,348,323,53.9,1.4
2009,Andrea Bargnani,78,4.5,350,331,52.9,-1.6
2001,Kevin Willis,78,4.5,352,346,50.9,-1.1
2007,Raymond Felton,78,4.5,352,419,42,-12.7
1997,Chris Mullin,79,4.5,356,252,70.6,18.6
2009,Ray Allen,79,4.5,354,289,61.2,6.8
2008,Marcus Camby,79,4.5,352,337,52.2,-2.2
2009,Erick Dampier,80,4.5,358,271,66.1,11.6
2013,Matt Barnes,80,4.5,360,294,61.2,7.5
2011,Darrell Arthur,80,4.5,362,305,59.3,4.9
2014,Al-Farouq Aminu,80,4.5,356,326,54.6,0.6
2008,Lou Williams,80,4.5,360,354,50.8,-3.6
2004,Cuttino Mobley,80,4.5,360,354,50.8,-1.2
2016,Dennis Schroder,80,4.5,356,364,48.9,-5.1
2014,Brandon Jennings,80,4.5,358,412,43.4,-10.6
2010,Matt Barnes,81,4.5,366,304,60.2,4.8
2002,Bobby Jackson,81,4.5,364,313,58.1,5.5
2003,Theo Ratliff,81,4.5,366,358,51.1,-1.4
2003,Michael Redd,82,4.5,366,305,60,7.5
2007,Charlie Bell,82,4.5,366,313,58.5,3.7
2001,Shandon Anderson,82,4.5,372,313,59.4,7.4
2005,Mark Blount,82,4.5,372,320,58.1,5
2008,Boris Diaw,82,4.5,372,328,56.7,2.2
2006,Tony Battie,82,4.5,370,328,56.4,2.5
2007,Paul Millsap,82,4.5,372,334,55.7,0.9
2004,Tayshaun Prince,82,4.5,368,334,55.1,3.1
1997,Bob Sura,82,4.5,368,352,52.3,0.3
2018,Patrick Beverley,11,4.4,48,50,48,-7.3
2022,Udoka Azubuike,17,4.4,74,49,75.5,18.9
2017,Jordan Crawford,19,4.4,84,60,70,14.8
2020,Victor Oladipo,19,4.4,84,89,47.2,-8.5
2004,Jason Collier,20,4.4,88,91,48.4,-3.7
1998,Carlos Rogers,21,4.4,92,76,60.5,7.2
2014,Ryan Anderson,22,4.4,96,104,46.2,-7.9
2004,Marc Jackson,22,4.4,96,107,44.9,-7.2
2021,Cam Reddish,26,4.4,114,116,49.1,-7
1998,Harold Ellis,27,4.4,120,92,65.2,11.9
2020,Anzejs Pasecniks,27,4.4,120,101,59.4,3.8
2000,Mikki Moore,29,4.4,128,87,73.6,20.6
2011,Kendrick Perkins,29,4.4,128,116,55.2,0.7
2003,Marcus Camby,29,4.4,128,135,47.4,-5.1
1997,Alan Henderson,30,4.4,132,119,55.5,3.4
2022,Klay Thompson,32,4.4,140,135,51.9,-4.8
2018,Kenneth Faried,32,4.4,142,138,51.4,-3.9
2018,Cody Zeller,33,4.4,146,130,56.2,0.8
