Year,Player,GP,PPG,PTS,FGA,eFG%,reFG%
1998,Glenn Robinson,56,12.4,697,756,46.1,3.2
2018,James Harden,72,12.4,895,848,52.8,3.3
2018,JJ Redick,70,12.4,871,755,57.7,8.2
2020,Paul George,48,12.4,593,543,54.6,4.1
2009,Ben Gordon,82,12.3,1011,939,53.8,7.4
2003,Jalen Rose,82,12.3,1010,1140,44.3,1
2009,Jason Terry,74,12.3,907,866,52.4,5.9
2015,Kevin Durant,27,12.3,332,302,55,8.7
2004,Michael Finley,72,12.3,888,889,49.9,6.8
1998,Mitch Richmond,70,12.3,861,889,48.4,5.6
2021,Nikola Vucevic,70,12.3,860,811,53,1.2
2002,Sam Cassell,74,12.3,908,942,48.2,4.4
2017,Bradley Beal,77,12.2,936,829,56.5,8.2
2019,Damian Lillard,80,12.2,973,924,52.7,3.1
2005,Dirk Nowitzki,78,12.2,955,1041,45.9,1.5
2003,Glenn Robinson,69,12.2,840,883,47.6,4.2
2008,Jamal Crawford,80,12.2,976,986,49.5,3.4
2008,Jason Richardson,82,12.2,1002,964,52,5.9
2007,Joe Johnson,57,12.2,698,704,49.6,4.1
2017,Kemba Walker,79,12.2,964,892,54,5.7
2012,Kevin Durant,66,12.2,803,778,51.6,6.9
2020,Khris Middleton,62,12.2,755,650,58.1,7.6
2014,Klay Thompson,81,12.2,991,913,54.3,7.5
2020,Kyrie Irving,20,12.2,244,226,54,3.5
2022,Damian Lillard,29,12.1,352,374,47.1,-3.2
2009,Kobe Bryant,82,12.1,992,1093,45.4,-1
2010,Kobe Bryant,73,12.1,883,948,46.6,0.9
2016,Paul George,81,12.1,978,1040,47,-0.1
2008,Peja Stojakovic,77,12.1,935,833,56.1,10.1
2008,Tracy McGrady,66,12.1,798,918,43.5,-2.6
2001,Allen Iverson,71,12.0,852,1030,41.4,-2.1
2004,Baron Davis,67,12.0,805,902,44.6,1.5
2016,Dirk Nowitzki,75,12.0,902,923,48.9,1.8
1997,Glen Rice,79,12.0,946,846,55.9,13
2015,JJ Redick,78,12.0,934,783,59.6,13.4
2016,JJ Redick,75,12.0,901,738,61,13.9
2017,Kawhi Leonard,74,12.0,885,855,51.8,3.5
2015,Kevin Martin,39,12.0,467,479,48.7,2.5
2018,Kyrie Irving,60,12.0,722,630,57.3,7.8
2019,Kyrie Irving,67,12.0,802,714,56.2,6.6
2004,Ray Allen,56,12.0,674,682,49.4,6.3
2000,Vince Carter,82,12.0,981,1093,44.9,1.2
2019,D'Angelo Russell,81,11.9,966,938,51.5,1.9
2017,Damian Lillard,75,11.9,892,867,51.4,3.1
2005,Gilbert Arenas,80,11.9,955,970,49.2,4.8
2002,Jalen Rose,83,11.9,989,1056,46.8,3
2021,Jamal Murray,48,11.9,571,533,53.6,1.8
2021,Jayson Tatum,64,11.9,763,746,51.1,-0.6
1997,Reggie Miller,81,11.9,966,994,48.6,5.7
2020,Trae Young,60,11.9,711,677,52.5,2
2018,Bradley Beal,82,11.8,969,943,51.4,1.9
2021,Bradley Beal,60,11.8,706,706,50,-1.8
2016,Carmelo Anthony,72,11.8,853,914,46.7,-0.4
2007,Dirk Nowitzki,78,11.8,922,882,52.3,6.8
2022,Gary Trent Jr.,70,11.8,829,791,52.4,2.2
2016,James Harden,82,11.8,964,973,49.5,2.4
2019,Kevin Durant,78,11.8,919,849,54.1,4.6
2022,Luka Doncic,65,11.8,765,782,48.9,-1.3
2021,Malik Beasley,37,11.8,435,379,57.4,5.6
2005,Michael Redd,75,11.8,886,951,46.6,2.2
2018,Paul George,79,11.8,934,909,51.4,1.9
2007,Paul Pierce,47,11.8,555,558,49.7,4.3
2018,CJ McCollum,81,11.7,945,916,51.6,2.1
2019,CJ McCollum,70,11.7,821,763,53.8,4.2
2004,Dirk Nowitzki,77,11.7,899,942,47.7,4.6
2010,Gilbert Arenas,32,11.7,375,407,46.1,0.4
2020,Kemba Walker,56,11.7,656,583,56.3,5.8
2013,Klay Thompson,82,11.7,963,921,52.3,6.1
2008,Kobe Bryant,82,11.7,962,1069,45,-1.1
2003,Michael Jordan,82,11.7,962,1111,43.3,0
2006,Raja Bell,79,11.7,921,802,57.4,12.3
2004,Sam Cassell,81,11.7,944,948,49.8,6.7
2006,Allen Iverson,72,11.6,832,976,42.6,-2.5
2015,Chris Bosh,44,11.6,509,513,49.6,3.3
2020,Davis Bertans,54,11.6,626,507,61.7,11.2
2013,Dirk Nowitzki,53,11.6,615,594,51.8,5.6
2021,Fred VanVleet,52,11.6,604,583,51.8,0
2017,Isaiah Thomas,76,11.6,883,798,55.3,7
2005,Jamal Crawford,70,11.6,813,850,47.8,3.4
2022,Jayson Tatum,76,11.6,883,906,48.7,-1.5
2021,Julius Randle,71,11.6,822,799,51.4,-0.3
2018,Kemba Walker,80,11.6,931,875,53.2,3.7
2006,Michael Redd,80,11.6,927,962,48.2,3.1
2003,Allen Iverson,82,11.5,941,1197,39.3,-4
2022,Anfernee Simons,57,11.5,655,575,57,6.7
2008,Ben Gordon,72,11.5,830,805,51.6,5.5
2021,Bogdan Bogdanovic,44,11.5,508,404,62.9,11.1
2017,Chris Paul,61,11.5,700,623,56.2,7.9
2020,Devonte' Graham,63,11.5,725,686,52.8,2.4
2000,Michael Finley,82,11.5,940,1011,46.5,2.8
2007,Mike Bibby,82,11.5,939,978,48,2.5
2005,Peja Stojakovic,66,11.5,762,760,50.1,5.8
2007,Rashard Lewis,60,11.5,692,649,53.3,7.9
2001,Reggie Miller,81,11.5,935,944,49.5,6
1998,Reggie Miller,81,11.5,928,880,52.7,9.9
2019,Terrence Ross,81,11.5,933,883,52.8,3.3
2002,Dirk Nowitzki,76,11.4,867,825,52.5,8.7
2015,Dirk Nowitzki,77,11.4,876,875,50.1,3.8
2009,Jamal Crawford,65,11.4,738,769,48,1.6
2003,Jamal Mashburn,82,11.4,931,1055,44.1,0.8
2001,Jason Terry,82,11.4,935,950,49.2,5.7
2022,LeBron James,56,11.4,639,632,50.6,0.3
2021,Luka Doncic,66,11.4,754,726,51.9,0.1
2007,Mike Miller,70,11.4,796,735,54.1,8.7
2009,Mo Williams,81,11.4,927,840,55.2,8.8
2007,Peja Stojakovic,13,11.4,148,151,49,3.5
2000,Ray Allen,82,11.4,931,907,51.3,7.7
2000,Allen Iverson,70,11.3,788,980,40.2,-3.5
2010,Danny Granger,62,11.3,699,732,47.7,2.1
2017,James Harden,81,11.3,916,909,50.4,2.1
2006,Jason Terry,80,11.3,901,803,56.1,11
2020,Kawhi Leonard,57,11.3,646,650,49.7,-0.8
2001,Ray Allen,82,11.3,926,854,54.2,10.7
