Year,Player,GP,PPG,PTS,FGA,eFG%,reFG%
2018,Nikola Vucevic,57,6.5,371,413,44.9,-4.5
2015,Patrick Beverley,56,6.5,365,356,51.3,5
2018,Patrick Beverley,11,6.5,72,69,52.2,2.7
2010,Randy Foye,70,6.5,453,477,47.5,1.8
2013,Ray Allen,79,6.5,513,457,56.1,10
1997,Ray Allen,82,6.5,534,556,48,5.1
2004,Ricky Davis,79,6.5,516,587,44,0.8
1999,Rik Smits,49,6.5,320,349,45.8,3.8
2017,Robert Covington,67,6.5,434,446,48.7,0.4
2011,Ryan Anderson,64,6.5,416,365,57,11
2007,Sam Cassell,58,6.5,376,447,42.1,-3.4
2007,Shane Battier,82,6.5,531,450,59,13.5
2008,Shane Battier,80,6.5,518,473,54.8,8.7
2020,Spencer Dinwiddie,64,6.5,415,471,44.1,-6.4
2007,Stephon Marbury,74,6.5,482,526,45.8,0.4
2008,Steve Blake,81,6.5,529,529,50,3.9
2009,Steve Novak,71,6.5,459,385,59.6,13.2
2010,Tayshaun Prince,49,6.5,319,350,45.6,-0.1
2011,Tayshaun Prince,78,6.5,504,610,41.3,-4.6
2004,Tim Thomas,66,6.5,431,455,47.4,4.3
2008,Tim Thomas,63,6.5,410,469,43.7,-2.4
1998,Tony Delk,77,6.5,501,624,40.1,-2.7
2009,Tony Parker,72,6.5,469,544,43.1,-3.3
2005,Troy Hudson,79,6.5,513,538,47.7,3.3
2018,Tyler Johnson,72,6.5,467,467,50,0.5
2000,Tyrone Nesby,73,6.5,478,576,41.5,-2.2
2007,Tyronn Lue,56,6.5,364,387,47,1.6
2000,Walt Williams,76,6.5,492,472,52.1,8.5
2011,Wesley Johnson,79,6.5,515,557,46.2,0.3
2012,Arron Afflalo,62,6.4,396,379,52.2,7.6
2017,Blake Griffin,61,6.4,390,436,44.7,-3.6
2000,Bryon Russell,82,6.4,522,553,47.2,3.5
2021,Cameron Johnson,60,6.4,383,372,51.5,-0.3
2020,Caris LeVert,45,6.4,286,292,49,-1.5
2016,Chandler Parsons,61,6.4,390,348,56,8.9
2012,Channing Frye,64,6.4,407,444,45.8,1.2
2010,Chris Bosh,70,6.4,448,495,45.3,-0.4
2001,Chris Whitney,59,6.4,379,385,49.2,5.7
2007,Chucky Atkins,75,6.4,479,450,53.2,7.8
2007,Danny Granger,82,6.4,524,561,46.7,1.2
2018,Darius Miller,82,6.4,527,436,60.4,11
2016,Darren Collison,74,6.4,471,440,53.5,6.4
2018,DeMarre Carroll,73,6.4,468,455,51.4,2
2000,Derrick Coleman,74,6.4,471,555,42.4,-1.2
2014,Derrick Rose,10,6.4,64,79,40.5,-6.3
2004,DeShawn Stevenson,80,6.4,509,587,43.4,0.2
2021,Donte DiVincenzo,66,6.4,421,380,55.4,3.6
2019,Fred VanVleet,64,6.4,408,386,52.8,3.3
2015,Isaiah Canaan,47,6.4,299,281,53.2,6.9
2017,J.J. Barea,35,6.4,225,226,49.8,1.5
2017,Jabari Parker,51,6.4,327,350,46.7,-1.6
2022,Jalen Brunson,79,6.4,506,487,52,1.7
2013,Jared Dudley,79,6.4,506,476,53.2,7
1998,Jaren Jackson,82,6.4,528,538,49.1,6.2
2010,Jarvis Hayes,45,6.4,286,286,50,4.4
2005,Jason Kapono,81,6.4,516,559,46.2,1.8
2007,Jerry Stackhouse,67,6.4,428,449,47.7,2.2
2017,Jordan Clarkson,82,6.4,525,568,46.2,-2.1
2013,Jordan Crawford,70,6.4,445,469,47.4,1.3
2015,Jrue Holiday,40,6.4,257,262,49,2.8
2008,Juan Carlos Navarro,82,6.4,522,522,50,3.9
2011,Kyle Lowry,75,6.4,477,498,47.9,1.9
2012,Kyle Lowry,47,6.4,301,306,49.2,4.5
2020,Landry Shamet,53,6.4,341,313,54.5,4
2003,Matt Harpring,78,6.4,503,535,47,3.7
1997,Michael Finley,83,6.4,533,649,41.1,-1.9
2016,Mike Conley,56,6.4,358,373,48,0.9
2014,Mirza Teletovic,72,6.4,461,401,57.5,10.7
2014,Mo Williams,74,6.4,475,490,48.5,1.7
2014,Monta Ellis,82,6.4,521,614,42.4,-4.3
2005,Morris Peterson,82,6.4,525,533,49.2,4.9
2016,Patty Mills,81,6.4,517,503,51.4,4.3
2004,Raja Bell,82,6.4,526,599,43.9,0.8
2015,Randy Foye,50,6.4,318,323,49.2,2.9
2021,RJ Barrett,72,6.4,458,434,52.8,1
1999,Rod Strickland,44,6.4,282,347,40.6,-1.4
2019,Rudy Gay,69,6.4,440,391,56.3,6.7
2008,Sam Cassell,55,6.4,351,394,44.5,-1.5
2001,Shawn Marion,79,6.4,505,592,42.7,-0.8
2007,Stephen Jackson,75,6.4,480,559,42.9,-2.5
2002,Steven Smith,77,6.4,496,463,53.6,9.8
2009,Tayshaun Prince,82,6.4,524,597,43.9,-2.5
2021,Tobias Harris,62,6.4,398,379,52.5,0.7
2007,Troy Murphy,68,6.4,432,427,50.6,5.1
2006,Tyronn Lue,51,6.4,326,278,58.6,13.5
1998,Vinny Del Negro,54,6.4,343,368,46.6,3.7
2006,Vladimir Radmanovic,77,6.4,493,461,53.5,8.4
2018,Will Barton,81,6.4,522,500,52.2,2.7
2017,Wilson Chandler,71,6.4,456,487,46.8,-1.5
2011,Amar'e Stoudemire,78,6.3,488,539,45.3,-0.7
2020,Anthony Davis,62,6.3,392,467,42,-8.5
2017,Bojan Bogdanovic,81,6.3,509,501,50.8,2.5
2022,Bones Hyland,69,6.3,437,412,53,2.8
2013,Brandon Knight,75,6.3,474,493,48.1,1.9
2010,Brandon Rush,82,6.3,514,486,52.9,7.2
2015,Channing Frye,75,6.3,476,432,55.1,8.8
2010,Courtney Lee,71,6.3,449,497,45.2,-0.5
2000,Cuttino Mobley,81,6.3,512,580,44.1,0.5
2011,D.J. Augustin,82,6.3,519,539,48.1,2.2
2011,Danilo Gallinari,62,6.3,391,419,46.7,0.7
2020,Danuel House Jr.,63,6.3,394,367,53.7,3.2
2019,Davis Bertans,76,6.3,477,377,63.3,13.7
2000,Dee Brown,38,6.3,240,239,50.2,6.6
2001,Dee Brown,7,6.3,44,43,51.2,7.7
1998,Dell Curry,52,6.3,325,320,50.8,7.9
2006,Delonte West,71,6.3,448,419,53.5,8.4
2012,DeMar DeRozan,63,6.3,394,534,36.9,-7.8
2009,Derrick Rose,81,6.3,512,587,43.6,-2.8
2007,DeShawn Stevenson,82,6.3,514,507,50.7,5.2
1998,Detlef Schrempf,78,6.3,490,495,49.5,6.6
2013,Dion Waiters,61,6.3,383,445,43,-3.1
2006,Dwyane Wade,75,6.3,471,629,37.4,-7.7
2002,Eddie House,64,6.3,402,440,45.7,1.9
2021,Eric Bledsoe,71,6.3,449,452,49.7,-2.1
2001,Eric Piatkowski,81,6.3,508,490,51.8,8.3
2022,Georges Niang,76,6.3,482,406,59.4,9.2
2003,Howard Eisley,82,6.3,517,488,53,9.6
2021,Immanuel Quickley,64,6.3,402,374,53.7,2
2012,Jameer Nelson,57,6.3,357,368,48.5,3.8
2012,James Harden,62,6.3,390,351,55.6,10.9
2016,Jarrett Jack,32,6.3,201,226,44.5,-2.6
2009,Jason Kidd,81,6.3,513,472,54.3,7.9
2004,Jason Richardson,78,6.3,495,640,38.7,-4.4
2020,Jeremy Lamb,46,6.3,289,294,49.1,-1.3
2017,Joel Embiid,31,6.3,194,202,48,-0.3
2019,Joel Embiid,64,6.3,403,491,41,-8.5
2021,Jordan Poole,51,6.3,319,318,50.2,-1.6
2017,Josh Richardson,53,6.3,335,369,45.4,-2.9
2011,Jrue Holiday,82,6.3,517,521,49.6,3.7
1997,Juwan Howard,82,6.3,514,602,42.7,-0.2
2000,Keith Van Horn,80,6.3,504,595,42.4,-1.3
2009,Kevin Garnett,57,6.3,360,406,44.3,-2.1
1997,Kevin Johnson,70,6.3,443,504,43.9,1
2021,LaMelo Ball,51,6.3,322,321,50.2,-1.6
2017,Langston Galloway,74,6.3,465,457,50.9,2.6
2021,Lonnie Walker IV,60,6.3,380,385,49.4,-2.4
2013,Luol Deng,75,6.3,475,585,40.6,-5.6
2008,Matt Carroll,80,6.3,502,465,54,7.9
2015,Mike Conley,70,6.3,439,432,50.8,4.5
2022,Miles Bridges,80,6.3,505,519,48.7,-1.6
2022,Nicolas Batum,59,6.3,374,321,58.3,8
2017,Nikola Mirotic,70,6.3,441,450,49,0.7
2019,Nikola Vucevic,80,6.3,504,519,48.6,-1
2020,Otto Porter Jr.,14,6.3,88,83,53,2.5
2014,Paul Pierce,75,6.3,470,458,51.3,4.6
2020,Reggie Jackson,31,6.3,195,181,53.9,3.4
2021,Reggie Jackson,67,6.3,424,353,60.1,8.3
2004,Richard Hamilton,78,6.3,494,622,39.7,-3.4
2011,Richard Jefferson,81,6.3,507,444,57.1,11.2
1997,Sam Cassell,61,6.3,387,464,41.7,-1.2
1998,Stephon Marbury,82,6.3,514,593,43.3,0.5
2012,Steve Nash,62,6.3,391,358,54.6,9.9
2002,Terrell Brandon,32,6.3,200,246,40.7,-3.2
2014,Tim Hardaway Jr.,81,6.3,510,501,50.9,4.1
2015,Tobias Harris,68,6.3,431,466,46.2,0
2006,Troy Hudson,36,6.3,228,262,43.5,-1.6
2002,Walt Williams,48,6.3,303,281,53.9,10.1
2021,Will Barton,56,6.3,352,327,53.8,2
2015,Wilson Chandler,78,6.3,489,531,46,-0.2
2011,Al Horford,77,6.2,476,468,50.9,4.9
2012,Andre Iguodala,62,6.2,382,423,45.2,0.5
2014,Andrea Bargnani,42,6.2,260,295,44.1,-2.7
2009,Andres Nocioni,76,6.2,474,466,50.9,4.4
2021,Anfernee Simons,64,6.2,394,319,61.8,10
2011,Anthony Parker,72,6.2,448,469,47.8,1.8
2018,Anthony Tolliver,79,6.2,487,377,64.6,15.1
2011,Arron Afflalo,69,6.2,428,383,55.9,9.9
2012,Brandon Knight,66,6.2,411,428,48,3.3
2022,Bryn Forbes,75,6.2,468,422,55.5,5.2
2013,Byron Mullens,53,6.2,328,402,40.8,-5.4
2012,C.J. Watson,49,6.2,302,315,47.9,3.3
2019,Cedi Osman,76,6.2,470,479,49.1,-0.5
2014,Chandler Parsons,74,6.2,462,459,50.3,3.6
2011,Chris Bosh,77,6.2,474,560,42.3,-3.6
2014,CJ Miles,51,6.2,315,285,55.3,8.5
2003,Clifford Robinson,81,6.2,504,599,42.1,-1.3
1999,Clifford Robinson,50,6.2,308,309,49.8,7.8
2015,Courtney Lee,77,6.2,478,457,52.3,6
2009,Cuttino Mobley,11,6.2,68,79,43,-3.4
2009,D.J. Augustin,72,6.2,446,399,55.9,9.5
1998,Dana Barros,80,6.2,496,455,54.5,11.6
2021,De'Andre Hunter,23,6.2,143,142,50.4,-1.4
2022,De'Anthony Melton,73,6.2,456,434,52.5,2.3
2007,Elton Brand,80,6.2,499,555,45,-0.5
2012,Eric Gordon,9,6.2,56,72,38.9,-5.8
2000,George McCloud,78,6.2,487,492,49.5,5.8
1997,George McCloud,64,6.2,395,433,45.6,2.7
2007,Gerald Green,81,6.2,504,514,49,3.6
2006,Gordan Giricek,37,6.2,229,282,40.6,-4.5
2016,Harrison Barnes,66,6.2,410,390,52.6,5.5
2003,Jamal Crawford,80,6.2,492,534,46.1,2.7
2007,Jannero Pargo,82,6.2,511,531,48.1,2.7
2009,Jarvis Hayes,74,6.2,456,450,50.7,4.2
2015,Jason Richardson,19,6.2,117,138,42.4,-3.9
2018,Jaylen Brown,70,6.2,431,390,55.3,5.8
2018,Jayson Tatum,80,6.2,498,454,54.8,5.4
1997,Jeff Hornacek,82,6.2,505,543,46.5,3.6
2011,JJ Redick,59,6.2,367,337,54.5,8.5
2020,Joe Ingles,72,6.2,444,379,58.6,8.1
2016,Jordan Farmar,12,6.2,74,71,52.1,5
2007,Jorge Garbajosa,67,6.2,417,438,47.6,2.1
2012,Josh Smith,66,6.2,410,558,36.7,-7.9
2007,Juan Dixon,81,6.2,499,544,45.9,0.4
2003,Kerry Kittles,65,6.2,400,433,46.2,2.9
1997,Kevin Garnett,77,6.2,476,552,43.1,0.2
2004,Kurt Thomas,80,6.2,492,542,45.4,2.3
2016,LaMarcus Aldridge,74,6.2,456,539,42.3,-4.8
2011,Lou Williams,75,6.2,468,513,45.6,-0.3
2014,Luol Deng,63,6.2,388,470,41.3,-5.5
2012,Mehmet Okur,17,6.2,105,114,46.1,1.4
2004,Metta World Peace,73,6.2,455,565,40.3,-2.8
2004,Nick Van Exel,39,6.2,240,286,42,-1.2
2015,O.J. Mayo,71,6.2,441,476,46.3,0
2015,Paul George,6,6.2,37,35,52.9,6.6
2009,Raymond Felton,82,6.2,510,609,41.9,-4.6
2015,Ricky Rubio,22,6.2,137,172,39.8,-6.5
2016,Rudy Gay,70,6.2,434,458,47.4,0.3
2006,Salim Stoudamire,61,6.2,381,375,50.8,5.7
1999,Scottie Pippen,50,6.2,308,349,44.1,2.1
2006,Shawn Marion,81,6.2,506,588,43,-2.1
1998,Steve Nash,76,6.2,471,452,52.1,9.2
2013,Steve Novak,81,6.2,500,424,59,12.8
2020,Svi Mykhailiuk,56,6.2,346,290,59.7,9.2
2001,Tim Thomas,76,6.2,470,477,49.3,5.8
2008,Troy Murphy,75,6.2,466,464,50.2,4.2
2015,Ty Lawson,75,6.2,464,534,43.4,-2.8
1997,Vernon Maxwell,72,6.2,448,606,37,-6
2007,Willie Green,74,6.2,459,522,44,-1.5
2006,Zach Randolph,74,6.2,461,571,40.4,-4.7
2009,Zach Randolph,50,6.2,309,377,41,-5.4
2019,Aaron Gordon,78,6.1,479,519,46.1,-3.4
2012,Al Harrington,64,6.1,391,414,47.2,2.6
2018,Anthony Davis,75,6.1,459,563,40.8,-8.7
1999,Antoine Walker,42,6.1,255,297,42.9,0.9
1998,Antoine Walker,82,6.1,501,647,38.7,-4.1
1997,Antonio McDyess,74,6.1,449,579,38.8,-4.2
1997,Bobby Phills,69,6.1,418,481,43.5,0.5
2020,Cameron Johnson,57,6.1,346,307,56.4,5.9
2005,Carmelo Anthony,75,6.1,460,604,38.1,-6.3
2020,Cedi Osman,65,6.1,397,358,55.4,5
2022,Cedi Osman,66,6.1,400,377,53.1,2.8
2009,Charlie Bell,70,6.1,425,428,49.6,3.2
2010,Charlie Villanueva,78,6.1,478,530,45.1,-0.5
2022,Christian Wood,68,6.1,415,391,53.1,2.9
2004,Corey Maggette,73,6.1,444,554,40.1,-3
1999,Dana Barros,50,6.1,304,277,54.9,12.8
2006,David Wesley,71,6.1,431,441,48.9,3.8
1998,David Wesley,81,6.1,495,544,45.5,2.6
2022,Davion Mitchell,75,6.1,459,510,45,-5.2
2019,DeMar DeRozan,77,6.1,469,597,39.3,-10.3
2016,DeMarcus Cousins,65,6.1,398,474,42,-5.1
2015,Deron Williams,68,6.1,415,446,46.5,0.2
2020,Doug McDermott,69,6.1,421,356,59.1,8.6
1998,Eldridge Recasner,59,6.1,360,337,53.4,10.5
2013,Eric Gordon,42,6.1,256,301,42.5,-3.6
2015,Ersan Ilyasova,58,6.1,352,325,54.2,7.9
2011,Francisco Garcia,58,6.1,353,364,48.5,2.5
2021,Furkan Korkmaz,55,6.1,333,315,52.9,1.1
2015,Gary Neal,54,6.1,330,375,44,-2.3
2016,Gary Neal,40,6.1,245,235,52.1,5
2004,Gordan Giricek,73,6.1,446,482,46.3,3.2
2015,Greivis Vasquez,82,6.1,501,469,53.4,7.1
2010,Hedo Turkoglu,74,6.1,452,466,48.5,2.9
1998,Horace Grant,76,6.1,462,578,40,-2.9
1997,Isaiah Rider,76,6.1,466,526,44.3,1.4
2018,J.J. Barea,69,6.1,421,407,51.7,2.3
2018,Jamil Wilson,15,6.1,91,71,64.1,14.6
2002,Jason Richardson,80,6.1,487,599,40.7,-3.2
2014,Jason Smith,31,6.1,188,209,45,-1.8
2001,Jeff McInnis,81,6.1,498,546,45.6,2.1
2019,Jeremy Lamb,79,6.1,484,481,50.3,0.7
2001,John Starks,75,6.1,458,519,44.1,0.6
1999,Kerry Kittles,46,6.1,282,380,37.1,-5
2019,Kevin Knox II,75,6.1,456,535,42.6,-7
2001,Larry Hughes,50,6.1,304,466,32.6,-10.9
2003,Larry Hughes,67,6.1,411,442,46.5,3.2
2009,Leandro Barbosa,70,6.1,427,427,50,3.6
2006,Luke Ridnour,79,6.1,478,540,44.3,-0.8
2009,Luke Ridnour,72,6.1,437,471,46.4,0
1998,Mahmoud Abdul-Rauf,31,6.1,189,240,39.4,-3.5
2019,Marc Gasol,79,6.1,481,470,51.2,1.6
2015,Marco Belinelli,62,6.1,378,359,52.6,6.4
2011,Marcus Thornton,73,6.1,442,456,48.5,2.5
1997,Mark Price,70,6.1,429,454,47.2,4.3
2016,Meyers Leonard,61,6.1,372,339,54.9,7.8
2002,Michael Redd,67,6.1,412,380,54.2,10.4
2021,Mikal Bridges,72,6.1,439,353,62.2,10.4
2004,Mike Dunleavy,75,6.1,461,467,49.4,6.2
2007,Mike Dunleavy,82,6.1,504,578,43.6,-1.9
2010,Mike Miller,54,6.1,328,280,58.6,12.9
2018,Myles Turner,65,6.1,394,391,50.4,0.9
2011,Nicolas Batum,80,6.1,486,511,47.6,1.6
2020,Nikola Jokic,73,6.1,448,480,46.7,-3.8
2017,Nikola Vucevic,75,6.1,459,525,43.7,-4.6
2017,Paul Millsap,69,6.1,421,479,43.9,-4.4
2002,Quentin Richardson,81,6.1,495,520,47.6,3.8
2010,Quentin Richardson,76,6.1,466,414,56.3,10.6
2018,Quinn Cook,33,6.1,201,166,60.5,11.1
1999,Sam Mitchell,50,6.1,303,375,40.4,-1.7
2012,Shannon Brown,59,6.1,358,399,44.9,0.2
2014,Spencer Hawes,80,6.1,490,441,55.6,8.8
1997,Stephon Marbury,67,6.1,409,468,43.7,0.8
2006,Steve Blake,68,6.1,415,396,52.4,7.3
1997,Steve Kerr,82,6.1,504,421,59.9,16.9
2006,Tayshaun Prince,82,6.1,499,591,42.2,-2.9
2007,Tayshaun Prince,82,6.1,499,525,47.5,2.1
2006,Tim Thomas,29,6.1,178,174,51.1,6.1
1997,Todd Day,81,6.1,498,512,48.6,5.7
2017,Tony Snell,80,6.1,485,417,58.2,9.9
2013,Ty Lawson,73,6.1,447,469,47.7,1.5
2000,Vernon Maxwell,47,6.1,289,348,41.5,-2.1
1999,Vince Carter,50,6.1,307,398,38.6,-3.5
2004,Wally Szczerbiak,28,6.1,170,173,49.1,6
2015,Wesley Johnson,76,6.1,467,532,43.9,-2.4
2019,Al Horford,68,6.0,405,373,54.3,4.7
2011,Andre Iguodala,67,6.0,401,472,42.5,-3.5
2008,Andre Miller,82,6.0,493,586,42.1,-4
2008,Andrea Bargnani,78,6.0,465,531,43.8,-2.3
2000,Anfernee Hardaway,60,6.0,362,416,43.5,-0.1
2011,Baron Davis,58,6.0,349,383,45.6,-0.4
2008,Beno Udrih,65,6.0,391,397,49.2,3.2
2000,Bob Sura,73,6.0,438,454,48.2,4.6
2019,Bobby Portis,50,6.0,299,294,50.9,1.3
2009,Bobby Simmons,71,6.0,425,355,59.9,13.4
2016,Bojan Bogdanovic,79,6.0,475,447,53.1,6
2013,Chauncey Billups,22,6.0,131,117,56,9.8
1997,Chris Mills,80,6.0,482,552,43.7,0.7
2011,CJ Miles,78,6.0,470,540,43.5,-2.4
1997,Clifford Robinson,81,6.0,483,611,39.5,-3.4
2009,Daniel Gibson,75,6.0,448,435,51.5,5.1
2000,Danny Ferry,63,6.0,381,344,55.4,11.7
2021,DeMar DeRozan,61,6.0,369,405,45.6,-6.2
2002,Derek Anderson,70,6.0,419,440,47.6,3.8
1998,Derek Harper,66,6.0,393,428,45.9,3
2009,Devin Harris,69,6.0,416,516,40.3,-6.1
2012,Dorell Wright,61,6.0,363,372,48.8,4.1
2013,Dorell Wright,79,6.0,473,464,51,4.8
2021,Dorian Finney-Smith,60,6.0,361,315,57.3,5.5
2016,Duje Dukan,1,6.0,6,9,33.3,-13.8
2014,Eric Bledsoe,43,6.0,256,268,47.8,1
2015,Gerald Henderson,80,6.0,479,558,42.9,-3.4
2008,Gerald Wallace,62,6.0,369,437,42.2,-3.8
2009,Gilbert Arenas,2,6.0,12,15,40,-6.4
1999,Hakeem Olajuwon,50,6.0,300,333,45,3
2022,Immanuel Quickley,78,6.0,471,477,49.4,-0.8
2007,Jameer Nelson,77,6.0,463,527,43.9,-1.5
2006,Jarvis Hayes,21,6.0,125,132,47.3,2.3
2011,Jason Kidd,80,6.0,478,511,46.8,0.8
2010,Jeff Green,82,6.0,492,571,43.1,-2.6
2021,JJ Redick,44,6.0,264,253,52.2,0.4
2018,Joe Harris,78,6.0,468,385,60.8,11.3
2003,Joe Johnson,82,6.0,489,553,44.2,0.9
1997,Joe Smith,80,6.0,478,601,39.8,-3.2
2002,Jon Barry,82,6.0,495,407,60.8,17
2011,Jordan Crawford,42,6.0,253,323,39.2,-6.8
2017,Jordan Farmar,2,6.0,12,9,66.7,18.4
2010,Jose Calderon,68,6.0,410,403,50.9,5.2
2011,Jose Calderon,68,6.0,407,438,46.5,0.5
2021,Josh Richardson,59,6.0,352,371,47.4,-4.3
2022,Josh Richardson,65,6.0,392,340,57.6,7.4
2014,Josh Smith,77,6.0,460,624,36.9,-9.9
2020,Justin Holiday,73,6.0,441,374,59,8.5
2012,Kemba Walker,66,6.0,399,497,40.1,-4.5
2021,Kentavious Caldwell-Pope,67,6.0,405,361,56.1,4.3
2001,Lamar Odom,76,6.0,458,523,43.8,0.3
2003,Lindsey Hunter,29,6.0,174,216,40.3,-3.1
2021,Luke Kennard,63,6.0,376,311,60.5,8.7
2005,Marko Jaric,50,6.0,298,318,46.9,2.5
2019,Marvin Williams,75,6.0,448,415,54,4.4
2009,Matt Bonner,81,6.0,489,390,62.7,16.3
2012,Nate Robinson,51,6.0,307,318,48.3,3.6
2020,Nemanja Bjelica,72,6.0,430,359,59.9,9.4
2016,Norris Cole,45,6.0,269,314,42.8,-4.3
2001,Pat Garrity,76,6.0,454,472,48.1,4.6
2016,Patrick Beverley,71,6.0,424,366,57.9,10.8
2009,Quentin Richardson,72,6.0,430,442,48.6,2.2
2018,Reggie Jackson,45,6.0,270,305,44.3,-5.2
2007,Richard Jefferson,55,6.0,332,367,45.2,-0.2
2020,Ricky Rubio,65,6.0,391,405,48.3,-2.2
2021,Robert Covington,70,6.0,419,376,55.7,3.9
2005,Ron Mercer,18,6.0,108,130,41.5,-2.8
1998,Sam Mitchell,81,6.0,486,529,45.9,3.1
2007,Smush Parker,82,6.0,488,490,49.8,4.3
2010,Steve Blake,80,6.0,482,447,53.9,8.3
1998,Steve Kerr,50,6.0,298,274,54.4,11.5
2000,Tim Duncan,74,6.0,445,506,44,0.3
2013,Tony Parker,66,6.0,398,412,48.3,2.1
1999,Vernon Maxwell,46,6.0,276,287,48.1,6
2003,Vladimir Radmanovic,72,6.0,432,461,46.9,3.5
2004,Walter McCarty,77,6.0,461,445,51.8,8.7
2015,Al Horford,76,5.9,445,462,48.2,1.9
2012,Alan Anderson,17,5.9,100,107,46.7,2.1
2016,Andrew Wiggins,81,5.9,481,643,37.4,-9.7
1997,Anfernee Hardaway,59,5.9,346,457,37.9,-5.1
2003,Anthony Peeler,82,5.9,484,493,49.1,5.8
2010,Baron Davis,75,5.9,444,568,39.1,-6.6
2012,Chris Bosh,57,5.9,334,391,42.7,-2
2003,Corey Maggette,64,5.9,378,451,41.9,-1.4
2019,Darren Collison,76,5.9,452,427,52.9,3.4
2010,David West,81,5.9,477,557,42.8,-2.8
2015,DeMarre Carroll,70,5.9,412,365,56.4,10.2
2021,Dennis Schroder,61,5.9,358,361,49.6,-2.2
2022,Dennis Schroder,64,5.9,376,399,47.1,-3.1
2002,Desmond Mason,75,5.9,440,479,45.9,2.1
2019,Dirk Nowitzki,51,5.9,302,343,44,-5.5
1998,Donyell Marshall,73,5.9,428,598,35.8,-7.1
2022,Duane Washington Jr.,48,5.9,281,263,53.4,3.2
2018,E'Twaun Moore,82,5.9,481,409,58.8,9.3
1999,Eric Piatkowski,49,5.9,289,289,50,7.9
1998,Eric Piatkowski,67,5.9,392,355,55.2,12.3
2001,Fred Hoiberg,74,5.9,437,409,53.4,9.9
2022,Gabe Vincent,68,5.9,402,378,53.2,3
2013,Goran Dragic,77,5.9,454,517,43.9,-2.3
2003,Gordan Giricek,76,5.9,445,511,43.5,0.2
2022,Harrison Barnes,77,5.9,458,400,57.3,7
2001,Howard Eisley,82,5.9,482,503,47.9,4.4
2017,Jameer Nelson,75,5.9,442,422,52.4,4.1
2008,James Jones,58,5.9,343,289,59.3,13.3
1999,Jeff Hornacek,48,5.9,281,283,49.6,7.6
2007,Jermaine O'Neal,69,5.9,408,554,36.8,-8.6
2006,Jerry Stackhouse,55,5.9,322,398,40.5,-4.6
2010,Jerry Stackhouse,42,5.9,247,249,49.6,4
2014,Jerryd Bayless,72,5.9,424,455,46.6,-0.2
2002,Jim Jackson,55,5.9,323,360,44.9,1
2013,John Wall,49,5.9,290,378,38.4,-7.8
2016,Jose Calderon,72,5.9,424,385,55.1,8
2008,Kareem Rush,71,5.9,416,432,48.1,2.1
2016,Karl-Anthony Towns,82,5.9,480,497,48.3,1.2
2008,Keith Bogans,82,5.9,482,461,52.3,6.2
1997,Kenny Anderson,82,5.9,484,595,40.7,-2.3
2014,Kirk Hinrich,73,5.9,433,461,47,0.2
2011,LaMarcus Aldridge,81,5.9,476,583,40.8,-5.1
2022,Landry Shamet,69,5.9,406,377,53.8,3.6
2019,Langston Galloway,80,5.9,473,456,51.9,2.3
2006,Leandro Barbosa,57,5.9,335,278,60.3,15.2
2008,Luol Deng,63,5.9,374,443,42.2,-3.8
2000,Matt Bullard,56,5.9,329,299,55,11.4
1998,Matt Maloney,78,5.9,462,456,50.7,7.8
2002,Metta World Peace,55,5.9,327,372,44,0.1
2009,Michael Beasley,81,5.9,479,507,47.2,0.8
2004,Mike Miller,65,5.9,382,393,48.6,5.5
2016,Mo Williams,41,5.9,243,235,51.7,4.6
2021,Nickeil Alexander-Walker,46,5.9,271,268,50.6,-1.2
2002,Raef LaFrentz,78,5.9,462,493,46.9,3
2014,Ray Allen,73,5.9,431,404,53.3,6.6
2006,Richard Jefferson,78,5.9,460,483,47.6,2.5
2019,Rodney Hood,72,5.9,423,429,49.3,-0.3
2008,Ryan Gomes,82,5.9,487,539,45.2,-0.9
1997,Sasha Danilovic,56,5.9,332,382,43.5,0.5
2019,Seth Curry,74,5.9,433,368,58.8,9.3
2018,Spencer Dinwiddie,80,5.9,471,508,46.4,-3.1
2019,Spencer Dinwiddie,68,5.9,404,412,49,-0.5
2022,Spencer Dinwiddie,67,5.9,398,409,48.7,-1.6
2013,Steve Blake,45,5.9,264,219,60.3,14.1
1998,Toni Kukoc,74,5.9,435,512,42.5,-0.4
2017,Tyler Johnson,73,5.9,432,459,47.1,-1.2
2015,Victor Oladipo,72,5.9,422,481,43.9,-2.4
2017,Yogi Ferrell,46,5.9,272,271,50.2,1.9
2009,Zydrunas Ilgauskas,65,5.9,385,425,45.3,-1.1
2018,Al Horford,72,5.8,421,381,55.2,5.8
2006,Andres Nocioni,82,5.8,477,472,50.5,5.4
2003,Anfernee Hardaway,58,5.8,336,368,45.7,2.3
2005,Antoine Walker,77,5.8,446,506,44.1,-0.3
2021,Ben McLemore,53,5.8,309,308,50.2,-1.6
2012,Brandon Rush,65,5.8,380,307,61.9,17.2
2012,Carlos Boozer,66,5.8,380,428,44.4,-0.3
1997,Christian Laettner,82,5.8,473,526,45,2
2006,Chucky Atkins,71,5.8,411,421,48.8,3.7
2006,Damon Jones,82,5.8,474,445,53.3,8.2
2018,Danny Green,70,5.8,407,401,50.7,1.3
2015,David West,66,5.8,386,421,45.8,-0.4
2022,De'Andre Hunter,53,5.8,306,308,49.7,-0.5
2007,Delonte West,69,5.8,401,462,43.4,-2.1
