Year,Player,GP,Paint PTS,Paint PPG,Paint FGA,Paint FG%,Paint rFG%,Outside PPG, Outside GP,Outside PTS,Outside FGA,Outside eFG%,Outside reFG%,Midrange PPG,Midrange PTS,Midrange FGA,Midrange FG%,Midrange rFG%
2022,2022 Mychal Mulder,17,12,0.7,19,31.6,-25,3.1,17,53,58,45.7,-4.5,0.1,2,4,25,-15.6
2022,2022 Myles Powell,11,8,0.7,9,44.4,-12.2,0.3,11,3,8,18.8,-31.5,0,0,2,0,-40.6
2022,2022 Myles Turner,42,260,6.2,193,67.4,10.7,4.8,42,201,200,50.3,0,0.4,18,17,52.9,12.3
2022,2022 Naji Marshall,55,170,3.1,149,57,0.4,1.3,55,69,120,28.8,-21.5,0.1,6,16,18.8,-21.9
2022,2022 Nassir Little,42,168,4,137,61.3,4.7,4.1,42,173,178,48.6,-1.6,0.5,20,24,41.7,1
2022,2022 Nate Hinton,2,0,0,1,0,-56.6,0.0,2,0,0,0,0,0,0,0,0,0
2022,2022 Nathan Knight,37,82,2.2,75,54.7,-2,0.3,37,12,13,46.2,-4.1,0,0,0,0,0
2022,2022 Naz Reid,77,352,4.6,308,57.1,0.5,2.2,77,171,168,50.9,0.7,0,0,2,0,-40.6
2022,2022 Neemias Queta,15,34,2.3,31,54.8,-1.8,0.0,15,0,7,0,-50.2,0,0,7,0,-40.6
2022,2022 Nemanja Bjelica,71,198,2.8,178,55.6,-1,2.5,71,176,164,53.7,3.4,0.2,14,15,46.7,6
2022,2022 Nerlens Noel,25,56,2.2,50,56,-0.6,0.3,25,8,9,44.4,-5.8,0.3,8,7,57.1,16.5
2022,2022 Nic Claxton,47,354,7.5,262,67.6,10.9,0.0,47,2,2,50,-0.2,0,2,2,50,9.4
2022,2022 Nick Richards,50,116,2.3,88,65.9,9.3,0.1,50,4,2,100,49.8,0.1,4,2,100,59.4
2022,2022 Nickeil Alexander-Walker,65,256,3.9,273,46.9,-9.7,5.4,65,353,405,43.6,-6.6,0.7,44,72,30.6,-10.1
2022,2022 Nicolas Batum,59,92,1.6,66,69.7,13.1,6.3,59,374,321,58.3,8,0.8,50,51,49,8.4
2022,2022 Nik Stauskas,8,0,0,1,0,-56.6,1.8,8,14,13,53.8,3.6,0.3,2,3,33.3,-7.3
2022,2022 Nikola Jokic,74,1198,16.2,896,66.9,10.2,5.8,74,427,412,51.8,1.6,1.8,136,127,53.5,12.9
2022,2022 Nikola Vucevic,73,696,9.5,587,59.3,2.7,6.8,73,500,565,44.2,-6,2.6,188,237,39.7,-1
2022,2022 Norman Powell,45,270,6,271,49.8,-6.8,8.7,45,393,334,58.8,8.6,1.7,78,82,47.6,6.9
2022,2022 Norvel Pelle,3,6,2,5,60,3.4,0.0,3,0,0,0,0,0,0,0,0,0
2022,2022 Obi Toppin,72,392,5.4,291,67.4,10.7,2.2,72,161,181,44.5,-5.7,0.1,8,16,25,-15.6
2022,2022 OG Anunoby,48,328,6.8,290,56.6,-0.1,8.4,48,405,407,49.8,-0.5,1.3,60,91,33,-7.7
