Year,Player,GP,Paint PTS,Paint PPG,Paint FGA,Paint FG%,Paint rFG%,Outside PPG, Outside GP,Outside PTS,Outside FGA,Outside eFG%,Outside reFG%,Midrange PPG,Midrange PTS,Midrange FGA,Midrange FG%,Midrange rFG%
2022,2022 Tre Jones,69,270,3.9,248,54.4,-2.2,1.0,69,72,88,40.9,-9.3,0.6,42,40,52.5,11.9
2022,2022 Tre Mann,60,216,3.6,244,44.3,-12.4,5.7,60,344,340,50.6,0.4,0.8,50,72,34.7,-5.9
2022,2022 Tremont Waters,3,2,0.7,3,33.3,-23.3,2.7,3,8,11,36.4,-13.8,0.7,2,2,50,9.4
2022,2022 Trendon Watford,48,260,5.4,217,59.9,3.3,0.7,48,33,50,33,-17.2,0.1,6,12,25,-15.6
2022,2022 Trent Forrest,60,132,2.2,118,55.9,-0.7,0.4,60,25,35,35.7,-14.5,0.2,10,10,50,9.4
2022,2022 Trevelin Queen,10,12,1.2,9,66.7,10,2.7,10,27,24,56.3,6,0,0,0,0,0
2022,2022 Trevon Scott,2,6,3,5,60,3.4,0.0,2,0,1,0,-50.2,0,0,0,0,0
2022,2022 Trevor Ariza,24,26,1.1,24,54.2,-2.5,2.5,24,60,75,40,-10.2,0,0,1,0,-40.6
2022,2022 Trey Burke,42,68,1.6,69,49.3,-7.4,3.0,42,126,146,43.2,-7.1,1.1,48,64,37.5,-3.1
2022,2022 Trey Lyles,75,360,4.8,307,58.6,2,3.1,75,231,254,45.5,-4.7,0.4,30,46,32.6,-8
2022,2022 Trey Murphy III,62,72,1.2,80,45,-11.6,3.5,62,217,196,55.4,5.1,0.1,4,11,18.2,-22.5
2022,2022 Tristan Thompson,57,276,4.8,260,53.1,-3.5,0.1,57,7,5,70,19.8,0.1,4,4,50,9.4
2022,2022 Troy Brown Jr.,66,110,1.7,108,50.9,-5.7,2.3,66,152,148,51.4,1.1,0.2,14,18,38.9,-1.8
2022,2022 Ty Jerome,48,126,2.6,126,50,-6.6,3.7,48,176,201,43.8,-6.4,0.3,14,16,43.8,3.1
2022,2022 Tyler Cook,20,46,2.3,38,60.5,3.9,0.0,20,0,0,0,0,0,0,0,0,0
2022,2022 Tyler Hall,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0
2022,2022 Tyler Herro,66,442,6.7,416,53.1,-3.5,11.1,66,735,701,52.4,2.2,3.2,210,268,39.2,-1.5
2022,2022 Tyler Johnson,6,0,0,0,0,0,2.8,6,17,20,42.5,-7.7,0.3,2,7,14.3,-26.4
2022,2022 Tyrell Terry,2,0,0,0,0,0,1.0,2,2,1,100,49.8,1,2,1,100,59.4
2022,2022 Tyrese Haliburton,77,378,4.9,353,53.5,-3.1,8.4,77,643,547,58.8,8.6,2.1,160,167,47.9,7.3
2022,2022 Tyrese Maxey,75,570,7.6,526,54.2,-2.4,7.0,75,527,467,56.4,6.2,1.8,134,163,41.1,0.5
2022,2022 Tyrone Wallace,6,10,1.7,11,45.5,-11.2,0.8,6,5,9,27.8,-22.4,0.3,2,2,50,9.4
2022,2022 Tyus Jones,73,272,3.7,269,50.6,-6.1,4.2,73,306,283,54.1,3.9,0.9,66,80,41.3,0.6
2022,2022 Udoka Azubuike,17,74,4.4,49,75.5,18.9,0.0,17,0,0,0,0,0,0,0,0,0
2022,2022 Udonis Haslem,13,18,1.4,18,50,-6.6,0.8,13,11,13,42.3,-7.9,0.6,8,9,44.4,3.8
2022,2022 Usman Garuba,24,28,1.2,24,58.3,1.7,0.6,24,15,20,37.5,-12.7,0,0,0,0,0
2022,2022 Vernon Carey Jr.,7,12,1.7,9,66.7,10,0.3,7,2,4,25,-25.2,0.3,2,4,25,-15.6
2022,2022 Victor Oladipo,8,30,3.8,27,55.6,-1.1,6.9,8,55,45,61.1,10.9,1.3,10,10,50,9.4
2022,2022 Vit Krejci,30,66,2.2,62,53.2,-3.4,3.4,30,102,104,49,-1.2,0.2,6,7,42.9,2.2
2022,2022 Vlatko Cancar,15,32,2.1,27,59.3,2.6,1.4,15,21,14,75,24.8,0,0,2,0,-40.6
2022,2022 Wayne Ellington,43,28,0.7,19,73.7,17.1,5.8,43,250,218,57.3,7.1,0.1,4,7,28.6,-12.1
2022,2022 Wayne Selden,3,0,0,2,0,-56.6,1.0,3,3,2,75,24.8,0,0,0,0,0
2022,2022 Wendell Carter Jr.,62,502,8.1,393,63.9,7.2,4.6,62,286,290,49.3,-0.9,1.2,76,77,49.4,8.7
2022,2022 Wenyen Gabriel,26,92,3.5,80,57.5,0.9,0.9,26,24,30,40,-10.2,0,0,2,0,-40.6
2022,2022 Wes Iwundu,3,4,1.3,7,28.6,-28.1,5.0,3,15,11,68.2,18,2,6,6,50,9.4
2022,2022 Wesley Matthews,49,68,1.4,60,56.7,0,3.2,49,159,160,49.7,-0.5,0,0,3,0,-40.6
2022,2022 Will Barton,71,392,5.5,357,54.9,-1.7,7.7,71,549,538,51,0.8,1.1,78,109,35.8,-4.9
2022,2022 Willie Cauley-Stein,20,30,1.5,31,48.4,-8.2,0.2,20,3,4,37.5,-12.7,0,0,2,0,-40.6
2022,2022 Willy Hernangomez,50,328,6.6,306,53.6,-3,0.3,50,16,20,40,-10.2,0.1,4,9,22.2,-18.4
2022,2022 Xavier Moon,10,8,0.8,11,36.4,-20.3,4.7,10,47,40,58.8,8.5,3.2,32,26,61.5,20.9
2022,2022 Xavier Sneed,9,2,0.2,2,50,-6.6,0.3,9,3,8,18.8,-31.5,0,0,0,0,0
2022,2022 Xavier Tillman Sr.,53,168,3.2,151,55.6,-1,0.7,53,38,65,29.2,-21,0.2,8,16,25,-15.6
2022,2022 Yuta Watanabe,38,44,1.2,47,46.8,-9.8,2.5,38,95,91,52.2,2,0.4,14,12,58.3,17.7
2022,2022 Yves Pons,12,4,0.3,7,28.6,-28.1,0.8,12,9,9,50,-0.2,0,0,0,0,0
2022,2022 Zach Collins,28,104,3.7,94,55.3,-1.3,2.2,28,62,61,50.8,0.6,0.7,20,20,50,9.4
2022,2022 Zach LaVine,67,558,8.3,464,60.1,3.5,11.3,67,757,722,52.4,2.2,3,202,247,40.9,0.2
2022,2022 Zavier Simpson,4,36,9,39,46.2,-10.5,0.8,4,3,13,11.5,-38.7,0,0,5,0,-40.6
2022,2022 Zeke Nnaji,41,110,2.7,94,58.5,1.9,2.9,41,119,92,64.7,14.5,0.2,8,12,33.3,-7.3
2022,2022 Ziaire Williams,62,182,2.9,135,67.4,10.8,4.5,62,276,287,48.1,-2.1,0.8,48,49,49,8.3
2022,2022 Zylan Cheatham,1,0,0,1,0,-56.6,0.0,1,0,2,0,-50.2,0,0,0,0,0
