Season,Team,Opponent eFG%,Opponent TS%
2017-18,CLE,54.0,56.8
2016-17,CLE,51.6,54.9
2015-16,CLE,49.6,53.4
2014-15,CLE,50.2,53.5
2013-14,CLE,50.8,54.5
2012-13,CLE,52.3,56.1
2011-12,CLE,50.8,54.4
2010-11,CLE,52.4,56.1
2009-10,CLE,48.2,52.4
2008-09,CLE,46.8,51.5
2007-08,CLE,49.4,53.8
2006-07,CLE,48.0,52.5
2005-06,CLE,49.0,53.2
2004-05,CLE,48.5,53.2
2003-04,CLE,46.9,51.3
2002-03,CLE,48.4,53.4
2001-02,CLE,49.3,53.4
2000-01,CLE,47.7,52.6
1999-00,CLE,47.4,52.9
1998-99,CLE,46.8,51.9
1997-98,CLE,46.0,51.3
1996-97,CLE,48.2,53.4
1995-96,CLE,50.6,55.0
1994-95,CLE,49.3,53.6
1993-94,CLE,48.4,52.4
1992-93,CLE,48.2,51.9
1991-92,CLE,48.3,51.9
1990-91,CLE,49.7,53.7
1989-90,CLE,49.0,52.9
1988-89,CLE,47.3,51.1
1987-88,CLE,48.5,53.1
1986-87,CLE,48.4,52.7
1985-86,CLE,48.0,53.7
1984-85,CLE,48.3,53.5
1983-84,CLE,49.0,54.3
1982-83,CLE,49.2,53.8
1981-82,CLE,51.5,56.2
1980-81,CLE,50.7,55.1
1979-80,CLE,50.5,54.5
1978-79,CLE,50.3,55.0
1977-78,CLE,45.6,49.8
1976-77,CLE,44.9,49.9
2021-22,DAL,52.1,55.4
2020-21,DAL,53.4,56.8
2019-20,DAL,52.5,55.6
2018-19,DAL,52.2,55.7
2017-18,DAL,53.2,56.5
2016-17,DAL,52.9,56.8
2015-16,DAL,50.4,54.0
2014-15,DAL,50.3,54.1
2013-14,DAL,51.5,55.5
2012-13,DAL,49.2,53.4
2011-12,DAL,47.9,51.9
2010-11,DAL,48.8,52.8
2009-10,DAL,49.5,53.4
2008-09,DAL,49.3,53.9
2007-08,DAL,47.4,52.4
2006-07,DAL,47.7,52.7
2005-06,DAL,47.5,52.5
2004-05,DAL,47.2,51.9
2003-04,DAL,49.8,53.7
2002-03,DAL,47.3,51.5
2001-02,DAL,48.5,53.0
2000-01,DAL,46.7,51.4
1999-00,DAL,48.8,52.7
1998-99,DAL,47.6,51.5
1997-98,DAL,48.8,52.3
1996-97,DAL,50.0,54.2
1995-96,DAL,52.6,56.2
1994-95,DAL,51.9,55.4
